study,sample,class
GSE6532,GSM65795,ER+
GSE6532,GSM65796,ER+
GSE6532,GSM65797,ER+
GSE6532,GSM65798,ER+
GSE6532,GSM65799,ER+
GSE6532,GSM65800,ER+
GSE6532,GSM65801,ER+
GSE6532,GSM65805,ER+
GSE6532,GSM65807,ER+
GSE6532,GSM65808,ER+
GSE6532,GSM65812,ER+
GSE6532,GSM65813,ER+
GSE6532,GSM65814,ER+
GSE6532,GSM65815,ER+
GSE6532,GSM65817,ER+
GSE6532,GSM65818,ER+
GSE6532,GSM65819,ER+
GSE6532,GSM65820,ER+
GSE6532,GSM65821,ER+
GSE6532,GSM65823,ER+
GSE6532,GSM65826,ER+
GSE6532,GSM65827,ER+
GSE6532,GSM65828,ER+
GSE6532,GSM65830,ER+
GSE6532,GSM65831,ER+
GSE6532,GSM65834,ER+
GSE6532,GSM65837,ER+
GSE6532,GSM65840,ER+
GSE6532,GSM65844,ER+
GSE6532,GSM65847,ER+
GSE6532,GSM65848,ER+
GSE6532,GSM65849,ER+
GSE6532,GSM65851,ER+
GSE6532,GSM65853,ER+
GSE6532,GSM65854,ER+
GSE6532,GSM65856,ER+
GSE6532,GSM65857,ER+
GSE6532,GSM65859,ER+
GSE6532,GSM65860,ER+
GSE6532,GSM65862,ER+
GSE6532,GSM65864,ER+
GSE6532,GSM65867,ER+
GSE6532,GSM65868,ER+
GSE6532,GSM65869,ER+
GSE6532,GSM65871,ER+
GSE6532,GSM65873,ER+
GSE6532,GSM65874,ER+
GSE6532,GSM65875,ER+
GSE6532,GSM65877,ER+
GSE6532,GSM65752,ER-
GSE6532,GSM65766,ER-
GSE6532,GSM65768,ER-
GSE6532,GSM65772,ER-
GSE6532,GSM65802,ER-
GSE6532,GSM65803,ER-
GSE6532,GSM65804,ER-
GSE6532,GSM65806,ER-
GSE6532,GSM65810,ER-
GSE6532,GSM65811,ER-
GSE6532,GSM65816,ER-
GSE6532,GSM65822,ER-
GSE6532,GSM65824,ER-
GSE6532,GSM65825,ER-
GSE6532,GSM65829,ER-
GSE6532,GSM65832,ER-
GSE6532,GSM65833,ER-
GSE6532,GSM65835,ER-
GSE6532,GSM65836,ER-
GSE6532,GSM65838,ER-
GSE6532,GSM65839,ER-
GSE6532,GSM65841,ER-
GSE6532,GSM65842,ER-
GSE6532,GSM65843,ER-
GSE6532,GSM65845,ER-
GSE6532,GSM65846,ER-
GSE6532,GSM65850,ER-
GSE6532,GSM65852,ER-
GSE6532,GSM65855,ER-
GSE6532,GSM65858,ER-
GSE6532,GSM65861,ER-
GSE6532,GSM65863,ER-
GSE6532,GSM65865,ER-
GSE6532,GSM65866,ER-
GSE6532,GSM65870,ER-
GSE6532,GSM65872,ER-
GSE6532,GSM65876,ER-
GSE6532,GSM65878,ER-
GSE6532,GSM65879,ER-
GSE6532,GSM65880,ER-
GSE20437,GSM512557,ER+
GSE20437,GSM512558,ER+
GSE20437,GSM512559,ER+
GSE20437,GSM512560,ER+
GSE20437,GSM512561,ER+
GSE20437,GSM512562,ER+
GSE20437,GSM512563,ER+
GSE20437,GSM512564,ER+
GSE20437,GSM512565,ER+
GSE20437,GSM512566,ER-
GSE20437,GSM512567,ER-
GSE20437,GSM512568,ER-
GSE20437,GSM512569,ER-
GSE20437,GSM512570,ER-
GSE20437,GSM512571,ER-
GSE20437,GSM512572,ER-
GSE20437,GSM512573,ER-
GSE20437,GSM512574,ER-
